exit_m,common_m,series_a_m,series_b_m,series_a_converts,series_b_converts
24.0,8.0,7.0,9.0,False,False
24.1,8.08,7.02,9.0,False,False
24.2,8.16,7.04,9.0,False,False
24.3,8.24,7.06,9.0,False,False
24.4,8.32,7.08,9.0,False,False
24.5,8.4,7.1,9.0,False,False
24.6,8.48,7.12,9.0,False,False
24.7,8.56,7.14,9.0,False,False
24.8,8.64,7.16,9.0,False,False
24.9,8.72,7.18,9.0,False,False
25.0,8.8,7.2,9.0,False,False
25.1,8.88,7.22,9.0,False,False
25.2,8.96,7.24,9.0,False,False
25.3,9.04,7.26,9.0,False,False
25.4,9.12,7.28,9.0,False,False
25.5,9.2,7.3,9.0,False,False
25.6,9.28,7.32,9.0,False,False
25.7,9.36,7.34,9.0,False,False
25.8,9.44,7.36,9.0,False,False
25.9,9.52,7.38,9.0,False,False
26.0,9.6,7.4,9.0,False,False
26.1,9.68,7.42,9.0,False,False
26.2,9.76,7.44,9.0,False,False
26.3,9.84,7.46,9.0,False,False
26.4,9.92,7.48,9.0,False,False
26.5,10.0,7.5,9.0,False,False
26.6,10.08,7.52,9.0,False,False
26.7,10.16,7.54,9.0,False,False
26.8,10.24,7.56,9.0,False,False
26.9,10.32,7.58,9.0,False,False
27.0,10.4,7.6,9.0,False,False
27.1,10.48,7.62,9.0,False,False
27.2,10.56,7.64,9.0,False,False
27.3,10.64,7.66,9.0,False,False
27.4,10.72,7.68,9.0,False,False
27.5,10.8,7.7,9.0,False,False
27.6,10.88,7.72,9.0,False,False
27.7,10.96,7.74,9.0,False,False
27.8,11.04,7.76,9.0,False,False
27.9,11.12,7.78,9.0,False,False
28.0,11.2,7.8,9.0,False,False
28.1,11.28,7.82,9.0,False,False
28.2,11.36,7.84,9.0,False,False
28.3,11.44,7.86,9.0,False,False
28.4,11.52,7.88,9.0,False,False
28.5,11.6,7.9,9.0,False,False
28.6,11.68,7.92,9.0,False,False
28.7,11.76,7.94,9.0,False,False
28.8,11.84,7.96,9.0,False,False
28.9,11.92,7.98,9.0,False,False
29.0,12.0,8.0,9.0,False,False
29.1,12.08,8.02,9.0,False,False
29.2,12.16,8.04,9.0,False,False
29.3,12.24,8.06,9.0,False,False
29.4,12.32,8.08,9.0,False,False
29.5,12.4,8.1,9.0,False,False
29.6,12.48,8.12,9.0,False,False
29.7,12.56,8.14,9.0,False,False
29.8,12.64,8.16,9.0,False,False
29.9,12.72,8.18,9.0,False,False
30.0,12.8,8.2,9.0,False,False
30.1,12.88,8.22,9.0,False,False
30.2,12.96,8.24,9.0,False,False
30.3,13.04,8.26,9.0,False,False
30.4,13.12,8.28,9.0,False,False
30.5,13.2,8.3,9.0,False,False
30.6,13.28,8.32,9.0,False,False
30.7,13.36,8.34,9.0,False,False
30.8,13.44,8.36,9.0,False,False
30.9,13.52,8.38,9.0,False,False
31.0,13.6,8.4,9.0,False,False
31.1,13.68,8.42,9.0,False,False
31.2,13.76,8.44,9.0,False,False
31.3,13.84,8.46,9.0,False,False
31.4,13.92,8.48,9.0,False,False
31.5,14.0,8.5,9.0,False,False
31.6,14.08,8.52,9.0,False,False
31.7,14.16,8.54,9.0,False,False
31.8,14.24,8.56,9.0,False,False
31.9,14.32,8.58,9.0,False,False
32.0,14.4,8.6,9.0,False,False
32.1,14.48,8.62,9.0,False,False
32.2,14.560000000000004,8.64,9.0,False,False
32.3,14.639999999999999,8.66,9.0,False,False
32.4,14.72,8.68,9.0,False,False
32.5,14.8,8.7,9.0,False,False
32.6,14.88,8.72,9.0,False,False
32.7,14.960000000000004,8.74,9.0,False,False
32.8,15.039999999999997,8.76,9.0,False,False
32.9,15.12,8.78,9.0,False,False
33.0,15.2,8.8,9.0,False,False
33.1,15.28,8.82,9.0,False,False
33.2,15.360000000000003,8.84,9.0,False,False
33.3,15.439999999999998,8.86,9.0,False,False
33.4,15.52,8.88,9.0,False,False
33.5,15.6,8.9,9.0,False,False
33.6,15.68,8.92,9.0,False,False
33.7,15.76,8.94,9.0,False,False
33.8,15.84,8.96,9.0,False,False
33.9,15.92,8.98,9.0,False,False
34.0,16.0,9.0,9.0,False,False
34.1,16.08,9.02,9.0,False,False
34.2,16.16,9.04,9.0,False,False
34.3,16.24,9.06,9.0,False,False
34.4,16.32,9.08,9.0,False,False
34.5,16.4,9.1,9.0,False,False
34.6,16.48,9.12,9.0,False,False
34.7,16.56,9.14,9.0,False,False
34.8,16.64,9.16,9.0,False,False
34.9,16.72,9.18,9.0,False,False
35.0,16.8,9.2,9.0,False,False
35.1,16.88,9.22,9.0,False,False
35.2,16.96,9.24,9.0,False,False
35.3,17.04,9.26,9.0,False,False
35.4,17.12,9.28,9.0,False,False
35.5,17.2,9.3,9.0,False,False
35.6,17.28,9.32,9.0,False,False
35.7,17.36,9.34,9.0,False,False
35.8,17.44,9.36,9.0,False,False
35.9,17.52,9.38,9.0,False,False
36.0,17.6,9.4,9.0,False,False
36.1,17.68,9.42,9.0,False,False
36.2,17.76,9.44,9.0,False,False
36.3,17.84,9.46,9.0,False,False
36.4,17.92,9.48,9.0,False,False
36.5,18.0,9.5,9.0,False,False
36.6,18.08,9.52,9.0,False,False
36.7,18.16,9.54,9.0,False,False
36.8,18.24,9.56,9.0,False,False
36.9,18.32,9.58,9.0,False,False
37.0,18.4,9.6,9.0,False,False
37.1,18.48,9.62,9.0,False,False
37.2,18.56,9.64,9.0,False,False
37.3,18.64,9.66,9.0,False,False
37.4,18.72,9.68,9.0,False,False
37.5,18.8,9.7,9.0,False,False
37.6,18.88,9.72,9.0,False,False
37.7,18.96,9.74,9.0,False,False
37.8,19.04,9.76,9.0,False,False
37.9,19.12,9.78,9.0,False,False
38.0,19.2,9.8,9.0,False,False
38.1,19.28,9.82,9.0,False,False
38.2,19.36,9.84,9.0,False,False
38.3,19.44,9.86,9.0,False,False
38.4,19.52,9.88,9.0,False,False
38.5,19.6,9.9,9.0,False,False
38.6,19.68,9.92,9.0,False,False
38.7,19.76,9.94,9.0,False,False
38.8,19.84,9.96,9.0,False,False
38.9,19.92,9.98,9.0,False,False
39.0,20.0,10.0,9.0,False,False
39.1,20.1,10.0,9.0,False,False
39.2,20.2,10.0,9.0,False,False
39.3,20.3,10.0,9.0,False,False
39.4,20.4,10.0,9.0,False,False
39.5,20.5,10.0,9.0,False,False
39.6,20.6,10.0,9.0,False,False
39.7,20.7,10.0,9.0,False,False
39.8,20.8,10.0,9.0,False,False
39.9,20.9,10.0,9.0,False,False
40.0,21.0,10.0,9.0,False,False
40.1,21.1,10.0,9.0,False,False
40.2,21.2,10.0,9.0,False,False
40.3,21.3,10.0,9.0,False,False
40.4,21.4,10.0,9.0,False,False
40.5,21.5,10.0,9.0,False,False
40.6,21.6,10.0,9.0,False,False
40.7,21.7,10.0,9.0,False,False
40.8,21.8,10.0,9.0,False,False
40.9,21.9,10.0,9.0,False,False
41.0,22.0,10.0,9.0,False,False
41.1,22.1,10.0,9.0,False,False
41.2,22.2,10.0,9.0,False,False
41.3,22.3,10.0,9.0,False,False
41.4,22.4,10.0,9.0,False,False
41.5,22.5,10.0,9.0,False,False
41.6,22.6,10.0,9.0,False,False
41.7,22.7,10.0,9.0,False,False
41.8,22.8,10.0,9.0,False,False
41.9,22.9,10.0,9.0,False,False
42.0,23.0,10.0,9.0,False,False
42.1,23.1,10.0,9.0,False,False
42.2,23.2,10.0,9.0,False,False
42.3,23.3,10.0,9.0,False,False
42.4,23.4,10.0,9.0,False,False
42.5,23.5,10.0,9.0,False,False
42.6,23.6,10.0,9.0,False,False
42.7,23.7,10.0,9.0,False,False
42.8,23.8,10.0,9.0,False,False
42.9,23.9,10.0,9.0,False,False
43.0,24.0,10.0,9.0,False,False
43.1,24.1,10.0,9.0,False,False
43.2,24.2,10.0,9.0,False,False
43.3,24.3,10.0,9.0,False,False
43.4,24.4,10.0,9.0,False,False
43.5,24.5,10.0,9.0,False,False
43.6,24.6,10.0,9.0,False,False
43.7,24.7,10.0,9.0,False,False
43.8,24.8,10.0,9.0,False,False
43.9,24.9,10.0,9.0,False,False
44.0,25.0,10.0,9.0,False,False
44.1,25.1,10.0,9.0,False,False
44.2,25.2,10.0,9.0,False,False
44.3,25.3,10.0,9.0,False,False
44.4,25.4,10.0,9.0,False,False
44.5,25.5,10.0,9.0,False,False
44.6,25.6,10.0,9.0,False,False
44.7,25.7,10.0,9.0,False,False
44.8,25.8,10.0,9.0,False,False
44.9,25.9,10.0,9.0,False,False
45.0,26.0,10.0,9.0,False,False
45.1,26.1,10.0,9.0,False,False
45.2,26.2,10.0,9.0,False,False
45.3,26.3,10.0,9.0,False,False
45.4,26.4,10.0,9.0,False,False
45.5,26.5,10.0,9.0,False,False
45.6,26.6,10.0,9.0,False,False
45.7,26.7,10.0,9.0,False,False
45.8,26.8,10.0,9.0,False,False
45.9,26.9,10.0,9.0,False,False
46.0,27.0,10.0,9.0,False,False
46.1,27.1,10.0,9.0,False,False
46.2,27.2,10.0,9.0,False,False
46.3,27.3,10.0,9.0,False,False
46.4,27.4,10.0,9.0,False,False
46.5,27.5,10.0,9.0,False,False
46.6,27.6,10.0,9.0,False,False
46.7,27.7,10.0,9.0,False,False
46.8,27.8,10.0,9.0,False,False
46.9,27.9,10.0,9.0,False,False
47.0,28.0,10.0,9.0,False,False
47.1,28.1,10.0,9.0,False,False
47.2,28.2,10.0,9.0,False,False
47.3,28.3,10.0,9.0,False,False
47.4,28.4,10.0,9.0,False,False
47.5,28.5,10.0,9.0,False,False
47.6,28.6,10.0,9.0,False,False
47.7,28.7,10.0,9.0,False,False
47.8,28.8,10.0,9.0,False,False
47.9,28.9,10.0,9.0,False,False
48.0,29.0,10.0,9.0,False,False
48.1,29.1,10.0,9.0,False,False
48.2,29.2,10.0,9.0,False,False
48.3,29.3,10.0,9.0,False,False
48.4,29.4,10.0,9.0,False,False
48.5,29.5,10.0,9.0,False,False
48.6,29.6,10.0,9.0,False,False
48.7,29.7,10.0,9.0,False,False
48.8,29.8,10.0,9.0,False,False
48.9,29.9,10.0,9.0,False,False
49.0,30.0,10.0,9.0,False,False
49.1,30.1,10.0,9.0,False,False
49.2,30.2,10.0,9.0,False,False
49.3,30.3,10.0,9.0,False,False
49.4,30.4,10.0,9.0,False,False
49.5,30.5,10.0,9.0,False,False
49.6,30.6,10.0,9.0,False,False
49.7,30.7,10.0,9.0,False,False
49.8,30.8,10.0,9.0,False,False
49.9,30.9,10.0,9.0,False,False
50.0,31.0,10.0,9.0,False,False
50.1,31.1,10.0,9.0,False,False
50.2,31.2,10.0,9.0,False,False
50.3,31.3,10.0,9.0,False,False
